adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.10-1ubuntu5.14
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.7
apport	2.28.3-0ubuntu0.1
apport-core-dump-handler	2.28.3-0ubuntu0.1
apport-symptoms	0.25
appstream	1.0.2-1build6
apt	2.8.3
apt-utils	2.8.3
at-spi2-common	2.52.0-1build1
at-spi2-core	2.52.0-1build1
autoconf	2.71-3
automake	1:1.16.5-1.3ubuntu1
autotools-dev	20220109.1
avahi-daemon	0.8-13ubuntu6.2
babeltrace	1.5.11-3build3
base-files	13ubuntu10.4
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bash-completion	1:2.11-8
bc	1.07.1-3ubuntu4
bcache-tools	1.0.8-5build1
bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.6
bind9-host	1:9.18.39-0ubuntu0.24.04.6
bind9-libs:arm64	1:9.18.39-0ubuntu0.24.04.6
binutils	2.42-4ubuntu2.10
binutils-aarch64-linux-gnu	2.42-4ubuntu2.10
binutils-common:arm64	2.42-4ubuntu2.10
bluez	5.72-0ubuntu5.5
bolt	0.9.7-1
brz	3.3.5-6build2
bsdextrautils	2.39.3-9ubuntu6.5
bsdutils	1:2.39.3-9ubuntu6.5
btrfs-progs	6.6.3-1.1build2
build-essential	12.10ubuntu1
busybox-initramfs	1:1.36.1-6ubuntu3.1
busybox-static	1:1.36.1-6ubuntu3.1
byobu	6.11-0ubuntu1
bzip2	1.0.8-5.1build0.1
bzip2-doc	1.0.8-5.1build0.1
bzr	2.7.0+bzr6622+brz
ca-certificates	20260601~24.04.1
catch2	3.4.0-1build1
chrony	4.5-1ubuntu4.2
cloud-guest-utils	0.33-1
cloud-init	26.1-0ubuntu1~24.04.1
cloud-initramfs-copymods	0.49~24.04.1
cloud-initramfs-dyn-netconf	0.49~24.04.1
cmake	3.28.3-1build7
cmake-data	3.28.3-1build7
comerr-dev:arm64	2.1-1.47.0-2.4~exp1ubuntu4.1
command-not-found	23.04.0
console-setup	1.226ubuntu1
console-setup-linux	1.226ubuntu1
coreutils	9.4-3ubuntu6.2
cpio	2.15+dfsg-1ubuntu2
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-aarch64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp-aarch64-linux-gnu	4:13.2.0-7ubuntu1
cppcheck	2.13.0-2ubuntu3
cppzmq-dev:arm64	4.10.0-1build1
cron	3.0pl1-184ubuntu2
cron-daemon-common	3.0pl1-184ubuntu2
cryptsetup	2:2.7.0-1ubuntu4.2
cryptsetup-bin	2:2.7.0-1ubuntu4.2
cryptsetup-initramfs	2:2.7.0-1ubuntu4.2
curl	8.5.0-2ubuntu10.12
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
dconf-gsettings-backend:arm64	0.40.0-4ubuntu0.1
dconf-service	0.40.0-4ubuntu0.1
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
debianutils	5.17build1
default-libmysqlclient-dev:arm64	1.1.0build1
device-tree-compiler	1.7.0-2build1
devio	1.2-2build1
dhcpcd-base	1:10.0.6-1ubuntu3.2
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.4
distro-info	1.7build1
distro-info-data	0.72-0ubuntu0.24.04.1
dmeventd	2:1.02.185-3ubuntu3.2
dmidecode	3.5-3ubuntu0.1
dmsetup	2:1.02.185-3ubuntu3.2
docutils-common	0.20.1+dfsg-3
dosfstools	4.2-1.1build1
dpkg	1.22.6ubuntu6.6
dpkg-dev	1.22.6ubuntu6.6
dracut-install	060+5-1ubuntu3.3
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
eatmydata	131-1ubuntu1
ed	1.20.1-1
eject	2.39.3-9ubuntu6.5
ethtool	1:6.7-1build1
fakeroot	1.33-1
fdisk	2.39.3-9ubuntu6.5
file	1:5.45-3build1
finalrd	9build1
findutils	4.9.0-5build1
firmware-sof-signed	2023.12.1-1ubuntu1.11
flash-kernel	3.107ubuntu13~24.04.6
flashrom	1.3.0-2.1ubuntu2
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-dejavu-core	2.37-8
fonts-dejavu-mono	2.37-8
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-lato	2.015-1
fonts-liberation	1:2.1.5-3
fonts-liberation-sans-narrow	1:1.07.6-4
fonts-liberation2	1:2.1.5-3
fonts-noto-mono	20201225-2
fonts-open-sans	1.11-2
fonts-ubuntu-console	0.869+git20240321-0ubuntu1
fonts-urw-base35	20200910-8
freeglut3-dev:arm64	3.4.0-1build1
friendly-recovery	0.2.42
ftp	20230507-2build3
fuse3	3.14.0-5build1
fwupd	2.0.20-1ubuntu2~24.04.2
fwupd-signed	1.52+1.4-1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04.1
g++-13-aarch64-linux-gnu	13.3.0-6ubuntu2~24.04.1
g++-aarch64-linux-gnu	4:13.2.0-7ubuntu1
gawk	1:5.2.1-2ubuntu0.1
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-aarch64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gcc-13-base:arm64	13.3.0-6ubuntu2~24.04.1
gcc-14-base:arm64	14.2.0-4ubuntu2~24.04.1
gcc-aarch64-linux-gnu	4:13.2.0-7ubuntu1
gdal-data	3.8.4+dfsg-3ubuntu3
gdal-plugins:arm64	3.8.4+dfsg-3ubuntu3
gdisk	1.0.10-1build1
geoclue-2.0	2.7.0-3ubuntu7
gettext-base	0.21-14ubuntu2
gfortran	4:13.2.0-7ubuntu1
gfortran-13	13.3.0-6ubuntu2~24.04.1
gfortran-13-aarch64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gfortran-aarch64-linux-gnu	4:13.2.0-7ubuntu1
ghostscript	10.02.1~dfsg1-0ubuntu7.8
gir1.2-girepository-2.0:arm64	1.80.1-1
gir1.2-glib-2.0:arm64	2.80.0-6ubuntu3.8
gir1.2-ibus-1.0:arm64	1.5.29-2
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.5
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
glib-networking:arm64	2.80.0-1build1
glib-networking-common	2.80.0-1build1
glib-networking-services	2.80.0-1build1
glslang-dev:arm64	15.1.0-2~ubuntu0.24.04.2
glslc	2023.8-1build1
gnupg	2.4.4-2ubuntu17.4
gnupg-l10n	2.4.4-2ubuntu17.4
gnupg-utils	2.4.4-2ubuntu17.4
google-mock:arm64	1.14.0-1
googletest	1.14.0-1
gpg	2.4.4-2ubuntu17.4
gpg-agent	2.4.4-2ubuntu17.4
gpg-wks-client	2.4.4-2ubuntu17.4
gpgconf	2.4.4-2ubuntu17.4
gpgsm	2.4.4-2ubuntu17.4
gpgv	2.4.4-2ubuntu17.4
graphicsmagick-libmagick-dev-compat	1.4+really1.3.42-1.1build3
graphviz	2.42.2-9ubuntu0.1
grep	3.11-4build1
groff-base	1.23.0-3build2
gsettings-desktop-schemas	46.1-0ubuntu1
gstreamer1.0-plugins-base:arm64	1.24.2-1ubuntu0.4
gtk-update-icon-cache	3.24.41-4ubuntu1.3
gzip	1.12-1ubuntu3.2
hdf5-helpers	1.10.10+repack-3.1ubuntu4
hdparm	9.65+ds-1build1
hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2
htop	3.3.0-4build1
humanity-icon-theme	0.6.16
ibverbs-providers:arm64	50.0-2ubuntu0.2
icu-devtools	74.2-1ubuntu3.1
iio-sensor-proxy	3.5-1build2
inetutils-telnet	2:2.5-3ubuntu4.2
info	7.1-3build2
init	1.66ubuntu1
init-system-helpers	1.66ubuntu1
initramfs-tools	0.142ubuntu25.8
initramfs-tools-bin	0.142ubuntu25.8
initramfs-tools-core	0.142ubuntu25.8
install-info	7.1-3build2
iproute2	6.1.0-1ubuntu6.4
iptables	1.8.10-3ubuntu2
iputils-ping	3:20240117-1ubuntu0.1
iputils-tracepath	3:20240117-1ubuntu0.1
iso-codes	4.16.0-1
javascript-common	11+nmu1
jq	1.7.1-3ubuntu0.24.04.2
kbd	2.6.4-2ubuntu2
keyboard-configuration	1.226ubuntu1
keyboxd	2.4.4-2ubuntu17.4
klibc-utils	2.0.13-4ubuntu0.2
kmod	31+20240202-2ubuntu7.2
kpartx	0.9.4-5ubuntu8.2
krb5-locales	1.20.1-6ubuntu2.7
krb5-multidev:arm64	1.20.1-6ubuntu2.7
landscape-common	24.02-0ubuntu5.7
less	590-2ubuntu2.1
libaacs0:arm64	0.11.1-2build1
libacl1:arm64	2.3.2-1build1.1
libaec-dev:arm64	1.1.2-1build1
libaec0:arm64	1.1.2-1build1
libaio1t64:arm64	0.3.113-6build1.1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl:arm64	0.04-8build3
libalgorithm-merge-perl	0.08-5
libamd3:arm64	1:7.6.1+dfsg-1build1
libann0	1.1.2+doc-9build1
libaom-dev:arm64	3.8.2-2ubuntu0.1
libaom3:arm64	3.8.2-2ubuntu0.1
libapparmor1:arm64	4.0.1really4.0.1-0ubuntu0.24.04.7
libappstream5:arm64	1.0.2-1build6
libapr1t64:arm64	1.7.2-3.1ubuntu0.1
libaprutil1t64:arm64	1.6.3-1.1ubuntu7
libapt-pkg6.0t64:arm64	2.8.3
libarchive13t64:arm64	3.7.2-2ubuntu0.8
libargon2-1:arm64	0~20190702+dfsg-4build1
libarmadillo-dev	1:12.6.7+dfsg-1build2
libarmadillo12	1:12.6.7+dfsg-1build2
libarpack2-dev:arm64	3.9.1-1.1build2
libarpack2t64:arm64	3.9.1-1.1build2
